,artist_individual,streams
13899,Yamkee Productions,13680
5255,Hernaldo Zuniga,13730
3160,Denise De Kalafe,13730
2971,Daniela Romo,13730
10007,Oscar Athie,13730
1002,Arianna,13730
12627,Tatiana,13730
8875,Mijares,13730
11198,Ruum,13739
8150,Maarja Nuut,13739
10218,Pastor Mike Jr.,13745
8455,Mark Les,13782
2155,Carmen Mena,13819
13634,WNCfam,13823
11778,Shevy O'shea,13859
14501,myunDo,13887
4218,Fana,13887
12395,Swings,13887
11485,San E,13887
2569,Crown J,13887
13454,Verbal Jint,13887
12475,TERA,13895
9864,Odumodublvck,13944
10569,PsychoYP,13944
9340,Nabil,13964
7401,Lawrence Hancock,13971
441,Afro Nation,14003
1630,Bighorse,14005
7864,Luna 99,14005
12645,Tayler Prof,14005
13934,Yaya Rebel,14005
1060,Artūras,14078
8744,Mehdi K-libre,14079
2133,Caprice,14079
8742,Mehad Hamad,14081
2334,Chimera,14102
13300,Uncle Vato,14102
5962,Jay Som,14103
3009,Dara Ekimova,14144
2785,DJ Polo,14145
7017,Kool G Rap & DJ Polo,14145
3590,Dybbukk,14190
5176,Hassa1,14240
4352,Flack,14240
3395,Django23,14259
12526,TSB,14259
4461,Fraxo,14262
7786,Lox Chatterbox,14262
13714,Whales,14262
13318,Urbanda,14286
11645,SelfMy,14324
14203,Zeronin,14324
7104,Kutrieo,14329
12815,The Mr,14392
651,Ali Arnoos,14416
6862,KiddBlack,14423
2723,DJ FortuneDJ,14423
1827,Bounce Inc.,14428
13121,Trey Parker,14439
6948,Kjartan Ólafsson,14483
14356,el ponte,14483
11035,RobMike & Lelo,14526
9853,Obongjayar,14533
6526,Kaavish and Quratulain Balouch,14538
7251,La Champions Liga,14563
1196,Azed,14567
10732,Rafał Brzozowski,14573
12158,Spirit (SK),14582
4037,Erik Tresor,14582
3299,Disciples,14624
13867,YOVNGCHIMI,14698
5399,Hydro,14698
3624,E-CHAN,14723
14849,فرح شريم,14729
471,Ahmad H Music,14729
8250,Mahmoud El Leithy,14750
9722,Nosi,14767
13636,WOODZ,14773
6433,K-Thug,14790
12656,Tea Sofia,14839
171,A$AP ANT,14874
1797,Bonny Cepeda,14879
4012,Enzyy810,14990
755,Aminux,15020
5819,Jah Darko,15020
42,17Louis,15024
3242,Diego Aldn,15045
4559,GABRIELL,15045
6292,Juan Luis Guerra 4.40,15049
12164,Spongebob Squarepants,15081
10590,Pxlish Beatz,15088
7561,Lil Keed,15091
13638,WSG WANNABE (OASISO),15118
688,All in one,15124
11464,Samm734,15155
12877,TheHxliday,15160
362,Aburob,15239
11380,Saba Shamaa,15239
7614,Linga,15261
10135,Pablito Castillo,15267
10418,Pinky SD,15267
13622,WHKRS,15270
7279,La Melma Music,15283
9362,Nalo,15306
6799,Kesk4n,15317
14340,dj Shawny,15323
5462,IShowSpeed,15323
7531,Liepa Lee,15369
4543,G&G Sindikatas,15369
9383,Narco Polo,15416
1614,Big Nick 912,15460
11457,Samer Doumet,15476
4758,Ghaliaa,15476
6061,Jhon el Diver,15507
11999,Slim Santana,15531
10618,Qavoz,15560
14812,أحمد ماكس,15584
4666,Galsat Tarab,15637
3221,Diamond la Mafia,15659
7209,LLV,15684
1835,Boyan,15687
