,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
251,SPICE GIRLS,11.0,2,2,2,0
252,STEELY DAN,11.0,12,8,1,0
253,YANNI,11.0,9,5,2,0
254,ABBA,10.5,8,3,1,0
255,ANDY WILLIAMS,10.5,18,3,0,0
256,BILLY RAY CYRUS,10.5,3,2,1,0
257,BRANDY,10.5,4,3,2,0
258,BUSH,10.5,4,3,2,0
259,DEPECHE MODE,10.5,11,6,1,0
260,GEORGE HARRISON,10.5,9,2,1,0
261,JOHN LENNON,10.5,11,4,2,0
262,JUSTIN TIMBERLAKE,10.5,5,4,3,0
263,LENNY KRAVITZ,10.5,8,5,3,0
264,MICHAEL W. SMITH,10.5,14,5,1,0
265,RICKY MARTIN,10.5,4,3,2,0
266,SCORPIONS,10.5,8,7,2,0
267,STEVIE NICKS,10.5,8,5,2,0
268,THE JUDDS,10.5,11,6,2,0
269,ZAC BROWN BAND,10.5,5,4,2,0
270,ACE OF BASE,10.0,2,2,1,0
271,ARETHA FRANKLIN,10.0,14,4,1,0
272,BLINK-182,10.0,6,4,2,0
273,BOBBY BROWN,10.0,3,3,2,0
274,"CROSBY, STILLS & NASH",10.0,4,4,2,0
275,EVANESCENCE,10.0,4,2,2,0
276,KIRK FRANKLIN,10.0,8,6,2,0
277,MASTER P,10.0,6,4,2,0
278,NINE INCH NAILS,10.0,5,3,3,0
279,PAUL MC CARTNEY & WINGS,10.0,9,7,1,0
280,PETER FRAMPTON,10.0,4,2,1,0
281,PETER GABRIEL,10.0,7,3,2,0
282,SAVAGE GARDEN,10.0,2,2,2,0
283,THE MOODY BLUES,10.0,14,6,0,0
284,TINA TURNER,10.0,7,5,1,0
285,VAN MORRISON,10.0,8,2,2,0
286,AIR SUPPLY,9.5,5,4,2,0
287,BLUES TRAVELER,9.5,6,3,1,0
288,DAVID BOWIE,9.5,14,5,0,0
289,DEAN MARTIN,9.5,17,2,0,0
290,DR. DRE,9.5,3,2,2,0
291,JUDAS PRIEST,9.5,12,5,1,0
292,MEN AT WORK,9.5,3,2,2,0
293,RICHARD MARX,9.5,5,4,2,0
294,SUBLIME,9.5,6,3,2,0
295,TONY BENNETT,9.5,12,5,1,0
296,\'WEIRD AL\' YANKOVIC,9.0,10,6,1,0
297,ARIANA GRANDE,9.0,6,6,3,0
298,BREAD,9.0,8,2,1,0
299,CHEAP TRICK,9.0,8,6,1,0
300,DONNA SUMMER,9.0,11,3,2,0
301,GLEN CAMPBELL,9.0,11,5,1,0
302,JULIO IGLESIAS,9.0,8,2,2,0
303,RAGE AGAINST THE MACHINE,9.0,4,4,3,0
304,SOUNDGARDEN,9.0,4,4,2,0
305,STAIND,9.0,4,4,2,0
306,STATLER BROTHERS,9.0,12,2,1,0
307,SUGARLAND,9.0,4,4,3,0
308,WAYLON JENNINGS,9.0,8,2,1,0
309,ALLMAN BROTHERS,8.5,11,4,1,0
310,BABYFACE,8.5,4,3,3,0
311,BOZ SCAGGS,8.5,5,4,1,0
312,BRAD PAISLEY,8.5,8,5,2,0
313,CARLY SIMON,8.5,8,5,1,0
314,CYNDI LAUPER,8.5,3,2,2,0
315,ERIC CHURCH,8.5,6,5,2,0
316,GODSMACK,8.5,6,3,2,0
317,JA RULE,8.5,5,4,2,0
318,MARY CHAPIN CARPENTER,8.5,6,3,2,0
319,MICHAEL BUBLE,8.5,6,5,2,0
320,PANIC! AT THE DISCO,8.5,6,5,2,0
321,THE CURE,8.5,8,5,2,0
322,TOO SHORT,8.5,9,6,1,0
323,TRANS-SIBERIAN ORCHESTRA,8.5,5,4,3,0
324,WU-TANG CLAN,8.5,4,3,2,0
325,"10,000 MANIACS",8.0,4,4,3,0
326,ALICE COOPER,8.0,9,7,0,0
327,CYPRESS HILL,8.0,6,4,2,0
328,DAUGHTRY,8.0,4,2,1,0
329,ENRIQUE IGLESIAS,8.0,8,4,1,0
330,GEORGE BENSON,8.0,8,4,1,0
331,ICE CUBE,8.0,9,5,1,0
332,J. COLE,8.0,5,5,2,0
333,JEFF FOXWORTHY,8.0,5,3,2,0
334,LADY A,8.0,5,3,2,0
335,MIRANDA LAMBERT,8.0,6,6,2,0
336,NICKI MINAJ,8.0,4,4,3,0
337,"PETER, PAUL & MARY",8.0,9,3,2,0
338,RATT,8.0,6,4,2,0
339,SALT 'N PEPA,8.0,5,3,1,0
340,SLY & THE FAMILY STONE,8.0,5,3,1,0
341,TANYA TUCKER,8.0,12,4,0,0
342,TEARS FOR FEARS,8.0,5,3,1,0
343,THREE DOG NIGHT,8.0,14,2,0,0
344,98 DEGREES,7.5,4,3,2,0
345,AMERICA,7.5,6,3,1,0
346,BARENAKED LADIES,7.5,6,3,1,0
347,BILL COSBY,7.5,9,6,0,0
348,"BLOOD, SWEAT & TEARS",7.5,5,2,2,0
349,BRIAN MC KNIGHT,7.5,6,3,2,0
350,COLLECTIVE SOUL,7.5,5,4,2,0
351,DEEP PURPLE,7.5,9,4,1,0
352,ENIGMA,7.5,4,3,2,0
353,GEORGE JONES,7.5,10,3,1,0
354,JEFFERSON STARSHIP,7.5,10,3,1,0
355,KENDRICK LAMAR,7.5,4,3,2,0
356,KENNY LOGGINS,7.5,10,5,0,0
357,KOOL & THE GANG,7.5,9,4,1,0
358,NEW EDITION,7.5,5,4,3,0
359,RAY CHARLES,7.5,8,3,1,0
360,RAY CONNIFF,7.5,11,4,0,0
361,SHAGGY,7.5,3,2,1,0
362,STEVE WINWOOD,7.5,5,4,2,0
363,SUSAN BOYLE,7.5,3,2,2,0
364,THE BLACK CROWES,7.5,3,2,2,0
365,THE TALKING HEADS,7.5,8,3,2,0
366,TORI AMOS,7.5,6,5,2,0
367,TOTO,7.5,6,3,2,0
368,TRACE ADKINS,7.5,8,5,1,0
369,VANILLA ICE,7.5,2,1,1,0
370,WHAM!,7.5,3,2,1,0
371,WYNONNA JUDD,7.5,4,3,1,0
372,311,7.0,7,3,1,0
