,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
1142,BOB WELCH,1.5,2,1,0,0
1143,BOBBY SHERMAN,1.5,3,0,0,0
1144,BONEY JAMES,1.5,3,0,0,0
1145,BONNIE TYLER,1.5,2,1,0,0
1146,BOOGIE DOWN PRODUCTIONS,1.5,3,0,0,0
1147,C-MURDER,1.5,2,1,0,0
1148,CANDLE,1.5,2,1,0,0
1149,CARL THOMAS,1.5,2,1,0,0
1150,CHILDISH GAMBINO,1.5,2,1,0,0
1151,CHRISTINA PERRI,1.5,2,1,0,0
1152,COLE SWINDELL,1.5,2,1,0,0
1153,COMMON,1.5,3,0,0,0
1154,CONWAY TWITTY & LORETTA LYNN,1.5,3,0,0,0
1155,COREY HART,1.5,3,0,0,0
1156,CRAIG DAVID,1.5,2,1,0,0
1157,CRUSADERS,1.5,3,0,0,0
1158,CURTIS MAYFIELD,1.5,3,0,0,0
1159,"D. PARTON, L. RONSTADT, E. HARRIS",1.5,2,1,0,0
1160,DADDY YANKEE,1.5,2,1,0,0
1161,DAN SEALS,1.5,2,1,0,0
1162,DANITY KANE,1.5,2,1,0,0
1163,DASHBOARD CONFESSIONAL,1.5,3,0,0,0
1164,DAVID CROSBY & GRAHAM NASH,1.5,3,0,0,0
1165,DAVID GRAY,1.5,2,1,0,0
1166,DAVID GUETTA,1.5,3,0,0,0
1167,DE BARGE,1.5,3,0,0,0
1168,DE LA SOUL,1.5,2,1,0,0
1169,DEBORAH COX,1.5,2,1,0,0
1170,DEVO,1.5,2,1,0,0
1171,DJ SNAKE,1.5,2,1,0,0
1172,DONALD FAGEN,1.5,2,1,0,0
1173,DONELL JONES,1.5,2,1,0,0
1174,DONOVAN,1.5,2,1,0,0
1175,EDWIN MC CAIN,1.5,2,1,0,0
1176,ELVIS CRESPO,1.5,2,1,0,0
1177,ERASURE,1.5,2,1,0,0
1178,EVE 6,1.5,2,1,0,0
1179,FAITH NO MORE,1.5,2,1,0,0
1180,FANTASIA,1.5,2,1,0,0
1181,FAT JOE,1.5,2,1,0,0
1182,FORT MINOR,1.5,2,1,0,0
1183,FOURPLAY,1.5,3,0,0,0
1184,FRANK OCEAN,1.5,2,1,0,0
1185,FRANZ FERDINAND,1.5,2,1,0,0
1186,FUNKADELIC,1.5,2,1,0,0
1187,FUNKMASTER FLEX,1.5,3,0,0,0
1188,GARY PUCKETT & THE UNION GAP,1.5,2,1,0,0
1189,GENIUS/GZA,1.5,2,1,0,0
1190,GERRY RAFFERTY,1.5,2,1,0,0
1191,GHOSTFACE KILLAH,1.5,2,1,0,0
1192,GOODIE MOB,1.5,3,0,0,0
1193,GUCCI MANE,1.5,3,0,0,0
1194,GUESS WHO,1.5,3,0,0,0
1195,H-TOWN,1.5,2,1,0,0
1196,H.E.R.,1.5,2,1,0,0
1197,HERB ALPERT,1.5,2,1,0,0
1198,HOLLYWOOD UNDEAD,1.5,2,1,0,0
1199,HOUSE OF PAIN,1.5,2,1,0,0
1200,ISRAEL KAMAKAWIWO'OLE,1.5,2,1,0,0
1201,JACKIE EVANCHO,1.5,2,1,0,0
1202,JACKYL,1.5,2,1,0,0
1203,JADE,1.5,2,1,0,0
1204,JAMES GANG,1.5,3,0,0,0
1205,JAMEY JOHNSON,1.5,2,1,0,0
1206,JEFF HEALEY BAND,1.5,2,1,0,0
1207,JEFFREY OSBORNE,1.5,3,0,0,0
1208,JERRY CLOWER,1.5,3,0,0,0
1209,JIM JOHNSTON,1.5,2,1,0,0
1210,JIM NABORS,1.5,3,0,0,0
1211,JIMMY EAT WORLD,1.5,2,1,0,0
1212,JIMMY PAGE & ROBERT PLANT,1.5,2,1,0,0
1213,JODY WATLEY,1.5,2,1,0,0
1214,JOE COCKER,1.5,3,0,0,0
1215,JOE NICHOLS,1.5,2,1,0,0
1216,JOHNNY PAYCHECK,1.5,2,1,0,0
1217,JOHNNY RIVERS,1.5,3,0,0,0
1218,JOJO,1.5,2,1,0,0
1219,JON B.,1.5,2,1,0,0
1220,JOSE FELICIANO,1.5,3,0,0,0
1221,JUICE WRLD,1.5,2,1,0,0
1222,JULIAN LENNON,1.5,2,1,0,0
1223,KARYN WHITE,1.5,2,1,0,0
1224,KEANE,1.5,2,1,0,0
1225,KELSEA BALLERINI,1.5,2,1,0,0
1226,KENNY ROGERS & DOTTIE WEST,1.5,2,1,0,0
1227,KOOL MOE DEE,1.5,2,1,0,0
1228,KYLIE MINOGUE,1.5,2,1,0,0
1229,LARRY GATLIN,1.5,2,1,0,0
1230,LEONARD COHEN,1.5,3,0,0,0
1231,LIL SKIES,1.5,2,1,0,0
1232,LIL TJAY,1.5,2,1,0,0
1233,LILA MC CANN,1.5,2,1,0,0
1234,LINDSAY LOHAN,1.5,2,1,0,0
1235,LISA STANSFIELD,1.5,2,1,0,0
1236,LIZ PHAIR,1.5,3,0,0,0
1237,LOVE UNLIMITED,1.5,3,0,0,0
1238,LUCIANO PAVAROTTI,1.5,2,1,0,0
1239,LYNN ANDERSON,1.5,2,1,0,0
1240,MACHINE GUN KELLY,1.5,3,0,0,0
1241,MACK 10,1.5,3,0,0,0
1242,MANHATTAN TRANSFER,1.5,2,1,0,0
1243,MARCO ANTONIO SOLIS Y LOS BUKIS,1.5,3,0,0,0
1244,MAREN MORRIS,1.5,2,1,0,0
1245,MARIO,1.5,2,1,0,0
1246,MARK WILLS,1.5,2,1,0,0
1247,MARVIN SAPP,1.5,2,1,0,0
1248,MICK JAGGER,1.5,2,1,0,0
1249,MIDNIGHT OIL,1.5,2,1,0,0
1250,MILLIE JACKSON,1.5,3,0,0,0
1251,MO THUGS,1.5,2,1,0,0
1252,MOUNTAIN,1.5,3,0,0,0
1253,MUDVAYNE,1.5,3,0,0,0
1254,NICKEL CREEK,1.5,2,1,0,0
1255,OL' DIRTY BASTARD,1.5,2,1,0,0
1256,OLD DOMINION,1.5,2,1,0,0
1257,ORGY,1.5,2,1,0,0
1258,OUR LADY PEACE,1.5,2,1,0,0
1259,PAT METHENY GROUP,1.5,3,0,0,0
1260,PEABO BRYSON,1.5,3,0,0,0
1261,PEACHES & HERB,1.5,2,1,0,0
1262,PEBBLES,1.5,2,1,0,0
1263,PERCY FAITH,1.5,3,0,0,0
1264,PETE TOWNSHEND,1.5,2,1,0,0
1265,PETER TOSH,1.5,2,1,0,0
1266,PIXIES,1.5,2,1,0,0
1267,PLAYBOI CARTI,1.5,2,1,0,0
1268,R. CARLOS NAKAI,1.5,2,1,0,0
1269,RAEKWON,1.5,2,1,0,0
1270,RANCID,1.5,2,1,0,0
1271,READY FOR THE WORLD,1.5,2,1,0,0
1272,RELIENT K,1.5,3,0,0,0
1273,RINGO STARR,1.5,2,1,0,0
1274,RISE AGAINST,1.5,3,0,0,0
1275,RITA COOLIDGE,1.5,2,1,0,0
1276,ROGER MILLER,1.5,3,0,0,0
1277,ROSANNE CASH,1.5,3,0,0,0
1278,ROSIE O'DONNELL,1.5,2,1,0,0
1279,ROYAL PHILHARMONIC ORCHESTRA,1.5,2,1,0,0
1280,RUBEN STUDDARD,1.5,2,1,0,0
1281,RUFUS,1.5,3,0,0,0
1282,RUSTED ROOT,1.5,2,1,0,0
1283,S.O.S. BAND,1.5,3,0,0,0
1284,SALIVA,1.5,2,1,0,0
1285,SAMANTHA FOX,1.5,3,0,0,0
1286,SAWYER BROWN,1.5,3,0,0,0
1287,SCHOOLBOY Q,1.5,2,1,0,0
1288,SELENA GOMEZ & THE SCENE,1.5,3,0,0,0
1289,SEVENDUST,1.5,3,0,0,0
1290,SHALAMAR,1.5,3,0,0,0
1291,SHAQUILLE O'NEAL,1.5,2,1,0,0
1292,SHEDAISY,1.5,2,1,0,0
1293,SHEKINAH GLORY MINISTRY,1.5,2,1,0,0
1294,SHENANDOAH,1.5,3,0,0,0
1295,SIA,1.5,2,1,0,0
1296,SLICK RICK,1.5,2,1,0,0
1297,SMOTHERS BROTHERS,1.5,3,0,0,0
1298,SNOOP DOGG PRESENTS THA EASTSIDAZ,1.5,2,1,0,0
1299,SNOW PATROL,1.5,2,1,0,0
1300,SONNY & CHER,1.5,3,0,0,0
1301,SPICE 1,1.5,3,0,0,0
1302,SQUIRREL NUT ZIPPERS,1.5,2,1,0,0
1303,STARSHIP,1.5,2,1,0,0
1304,STATIC-X,1.5,2,1,0,0
1305,STEPHEN STILLS,1.5,3,0,0,0
1306,STEVE WARINER,1.5,3,0,0,0
1307,STEVIE B.,1.5,3,0,0,0
1308,STONE SOUR,1.5,2,1,0,0
1309,STRAY CATS,1.5,2,1,0,0
1310,SURFACE,1.5,2,1,0,0
1311,SUZANNE VEGA,1.5,2,1,0,0
1312,TAKE 6,1.5,2,1,0,0
1313,TAKING BACK SUNDAY,1.5,3,0,0,0
1314,TAMMY WYNETTE,1.5,2,1,0,0
1315,THE 1975,1.5,2,1,0,0
1316,THE BAND PERRY,1.5,2,1,0,0
1317,THE BELLAMY BROTHERS,1.5,2,1,0,0
1318,THE BOYS,1.5,2,1,0,0
1319,THE FIXX,1.5,2,1,0,0
1320,THE JETS,1.5,2,1,0,0
1321,THE LOX,1.5,2,1,0,0
1322,THE MANHATTANS,1.5,3,0,0,0
1323,THE MAVERICKS,1.5,2,1,0,0
1324,THE NEIGHBOURHOOD,1.5,2,1,0,0
1325,THE OUTLAWS,1.5,3,0,0,0
1326,THE SHINS,1.5,3,0,0,0
1327,THE SMITHS,1.5,3,0,0,0
1328,THE STYLISTICS,1.5,3,0,0,0
1329,THE VENTURES,1.5,3,0,0,0
1330,THOMPSON TWINS,1.5,2,1,0,0
1331,TOM WAITS,1.5,3,0,0,0
1332,TOTAL,1.5,2,1,0,0
1333,TYPE O NEGATIVE,1.5,2,1,0,0
1334,VAN CLIBURN,1.5,2,1,0,0
1335,VANCE JOY,1.5,2,1,0,0
1336,VERN GOSDIN,1.5,3,0,0,0
1337,VIOLENT FEMMES,1.5,2,1,0,0
1338,VONDA SHEPARD,1.5,2,1,0,0
1339,WARREN ZEVON,1.5,2,1,0,0
1340,WESTSIDE CONNECTION,1.5,2,1,0,0
1341,YELLOWCARD,1.5,2,1,0,0
1342,YNW MELLY,1.5,3,0,0,0
1343,YO GOTTI,1.5,3,0,0,0
1344,YOUNG M.C.,1.5,2,1,0,0
1345,ZAPP,1.5,3,0,0,0
1346,ZAYN,1.5,2,1,0,0
1347,ZIGGY MARLEY & MELODY MAKERS,1.5,2,1,0,0
1348,2 PAC & OUTLAWZ,1.0,1,1,0,0
1349,3LW,1.0,1,1,0,0
1350,3RD BASS,1.0,2,0,0,0
1351,4 NON BLONDES,1.0,1,1,0,0
1352,69 BOYZ,1.0,1,1,0,0
1353,A DAY TO REMEMBER,1.0,2,0,0,0
1354,A TASTE OF HONEY,1.0,1,1,0,0
1355,A-HA,1.0,1,1,0,0
1356,A.B. Y LOS KUMBIA KINGS QUINTANILLA III,1.0,2,0,0,0
1357,A$AP FERG,1.0,2,0,0,0
1358,AARON HALL,1.0,1,1,0,0
1359,ACE FREHLEY,1.0,1,1,0,0
1360,AKWID,1.0,1,1,0,0
1361,ALANNAH MYLES,1.0,1,1,0,0
1362,ALESSIA CARA,1.0,1,1,0,0
1363,ALEXANDER O'NEAL,1.0,2,0,0,0
1364,ALIEN ANT FARM,1.0,1,1,0,0
1365,ALL SAINTS,1.0,1,1,0,0
1366,ALL TIME LOW,1.0,2,0,0,0
1367,ALT-J,1.0,2,0,0,0
1368,AMERICAN IDOLS,1.0,2,0,0,0
1369,AMERIE,1.0,2,0,0,0
1370,ANGIE STONE,1.0,2,0,0,0
1371,ANNE-MARIE,1.0,1,1,0,0
1372,ANOTHER BAD CREATION,1.0,1,1,0,0
1373,ARCADE FIRE,1.0,2,0,0,0
1374,ARCADIA,1.0,1,1,0,0
1375,ATREYU,1.0,2,0,0,0
1376,AVALON,1.0,2,0,0,0
1377,AVICII,1.0,1,1,0,0
1378,AWOLNATION,1.0,1,1,0,0
1379,AZ YET,1.0,1,1,0,0
1380,BAD ENGLISH,1.0,1,1,0,0
1381,BANDA EL RECODO,1.0,2,0,0,0
1382,BARBARA MANDRELL,1.0,2,0,0,0
1383,BASTILLE,1.0,1,1,0,0
1384,BAZZI,1.0,1,1,0,0
1385,BEBE REXHA,1.0,1,1,0,0
1386,BEN FOLDS FIVE,1.0,1,1,0,0
1387,BENNY BLANCO,1.0,1,1,0,0
1388,BETTER THAN EZRA,1.0,1,1,0,0
1389,BIG BAD VOODOO DADDY,1.0,1,1,0,0
1390,BIG DADDY KANE,1.0,2,0,0,0
1391,BIG HEAD TODD & THE MONSTERS,1.0,1,1,0,0
1392,BILL WHELAN,1.0,1,1,0,0
1393,BLACK ROB,1.0,1,1,0,0
1394,BLACKBEAR,1.0,2,0,0,0
1395,BLACKFOOT,1.0,1,1,0,0
1396,BLAQUE,1.0,1,1,0,0
1397,BLIND FAITH,1.0,1,1,0,0
1398,BLUE OCTOBER,1.0,1,1,0,0
1399,BOB JAMES & DAVID SANBORN,1.0,1,1,0,0
1400,BOB NEWHART,1.0,2,0,0,0
1401,BOBBY MC FERRIN,1.0,1,1,0,0
1402,BOBBY VINTON,1.0,2,0,0,0
1403,BOOTS RANDOLPH,1.0,2,0,0,0
1404,BOOTSY'S RUBBER BAND,1.0,2,0,0,0
1405,BRETT ELDREDGE,1.0,2,0,0,0
1406,BRETT YOUNG,1.0,1,1,0,0
1407,BRONCO,1.0,2,0,0,0
1408,BROWNSTONE,1.0,1,1,0,0
1409,BUDDY HOLLY & THE CRICKETS,1.0,2,0,0,0
1410,BUENA VISTA SOCIAL CLUB,1.0,1,1,0,0
1411,BUFFALO SPRINGFIELD,1.0,1,1,0,0
1412,CALIFORNIA RAISINS,1.0,1,1,0,0
1413,CAPITAL CITIES,1.0,1,1,0,0
1414,CARL DOY,1.0,1,1,0,0
1415,CARLOS SANTANA & BUDDY MILES,1.0,1,1,0,0
1416,CASE,1.0,2,0,0,0
1417,CHAMILLIONAIRE,1.0,1,1,0,0
1418,CHANGING FACES,1.0,2,0,0,0
1419,CHARLIE ZAA,1.0,1,1,0,0
1420,CHRIS BOTTI,1.0,2,0,0,0
1421,CHRIS CAGLE,1.0,2,0,0,0
1422,CLANNAD,1.0,2,0,0,0
1423,CLEAN BANDIT,1.0,2,0,0,0
1424,CLUB NOUVEAU,1.0,1,1,0,0
1425,COHEED & CAMBRIA,1.0,2,0,0,0
1426,COLD,1.0,2,0,0,0
1427,CORINNE BAILEY RAE,1.0,1,1,0,0
1428,COVERDALE PAGE,1.0,1,1,0,0
1429,COWBOY JUNKIES,1.0,1,1,0,0
1430,CRAIG MORGAN,1.0,2,0,0,0
1431,CRAZY TOWN,1.0,1,1,0,0
1432,CREEDENCE CLEARWATER REVISITED,1.0,1,1,0,0
1433,CROSSFADE,1.0,1,1,0,0
1434,CROWDED HOUSE,1.0,1,1,0,0
1435,DAN FOGELBERG & TIM WEISBERG,1.0,1,1,0,0
1436,DARLENE ZSCHECH,1.0,2,0,0,0
1437,DAS EFX,1.0,1,1,0,0
1438,DAVE CLARK FIVE,1.0,2,0,0,0
1439,DAVE HOLLISTER,1.0,2,0,0,0
1440,DAVE KOZ,1.0,2,0,0,0
1441,DAVID BALL,1.0,1,1,0,0
1442,DAVID COOK,1.0,1,1,0,0
1443,DAVID GILMOUR,1.0,2,0,0,0
1444,DAVID LEE MURPHY,1.0,1,1,0,0
1445,DAYS OF THE NEW,1.0,1,1,0,0
1446,DEBBY BOONE,1.0,1,1,0,0
1447,DEFAULT,1.0,1,1,0,0
1448,DENIECE WILLIAMS,1.0,2,0,0,0
1449,DEREK & THE DOMINOS,1.0,2,0,0,0
1450,DES'REE,1.0,1,1,0,0
1451,DIANA ROSS & THE SUPREMES WITH THE TEMPTATIONS,1.0,2,0,0,0
1452,DJ MAGIC MIKE,1.0,2,0,0,0
1453,DJ MAGIC MIKE & ROYAL POSSE,1.0,1,1,0,0
1454,DO OR DIE,1.0,2,0,0,0
1455,DON OMAR,1.0,2,0,0,0
1456,DONNA LEWIS,1.0,1,1,0,0
1457,DREAMVILLE,1.0,1,1,0,0
1458,DROWNING POOL,1.0,1,1,0,0
1459,EAGLE EYE CHERRY,1.0,1,1,0,0
1460,ED AMES,1.0,2,0,0,0
1461,EDGAR WINTER,1.0,2,0,0,0
1462,ELLA MAI,1.0,1,1,0,0
1463,ELMO AND PATSY,1.0,1,1,0,0
1464,EMF,1.0,1,1,0,0
1465,ERIC JOHNSON,1.0,1,1,0,0
1466,EUGENE ORMANDY,1.0,2,0,0,0
1467,EVA CASSIDY,1.0,1,1,0,0
1468,EVELYN \'CHAMPAGNE\' KING,1.0,2,0,0,0
1469,EXILE,1.0,2,0,0,0
1470,FASTBALL,1.0,1,1,0,0
1471,FATBOY SLIM,1.0,1,1,0,0
1472,FINGER ELEVEN,1.0,2,0,0,0
1473,FIVE,1.0,1,1,0,0
1474,FLYLEAF,1.0,1,1,0,0
1475,FOCUS,1.0,2,0,0,0
1476,FRANCES LAI,1.0,2,0,0,0
1477,FRANKIE J,1.0,1,1,0,0
1478,G.Q.,1.0,1,1,0,0
1479,GANG STARR,1.0,2,0,0,0
1480,GAVIN DEGRAW,1.0,1,1,0,0
1481,GENE SIMMONS,1.0,1,1,0,0
1482,GEORGIA SATELLITES,1.0,1,1,0,0
1483,GINO VANNELLI,1.0,1,1,0,0
1484,GLENN FREY,1.0,2,0,0,0
1485,GLORIA GAYNOR,1.0,1,1,0,0
1486,GNARLS BARKLEY,1.0,1,1,0,0
1487,GRUPO MONTEZ DE DURANGO,1.0,2,0,0,0
1488,GUNNA,1.0,2,0,0,0
1489,HALESTORM,1.0,2,0,0,0
1490,HALL & OATES,1.0,1,1,0,0
1491,HAWTHORNE HEIGHTS,1.0,2,0,0,0
1492,HEATHER HEADLEY,1.0,2,0,0,0
1493,HI-FIVE,1.0,2,0,0,0
1494,HIROSHIMA,1.0,2,0,0,0
1495,HOT BOYS,1.0,1,1,0,0
1496,HOWARD JONES,1.0,1,1,0,0
1497,HUMBLE PIE,1.0,2,0,0,0
1498,IGGY AZALEA,1.0,1,1,0,0
1499,IMMATURE,1.0,2,0,0,0
1500,INNER CIRCLE,1.0,1,1,0,0
1501,INTERPOL,1.0,2,0,0,0
1502,ISRAEL & NEW BREED,1.0,2,0,0,0
1503,JACK JOHNSON & FRIENDS,1.0,1,1,0,0
1504,JACKIE GLEASON,1.0,2,0,0,0
1505,JADAKISS,1.0,2,0,0,0
1506,JAKE OWEN,1.0,1,1,0,0
1507,JAMES BAY,1.0,1,1,0,0
1508,JAMES INGRAM,1.0,2,0,0,0
1509,JAMIROQUAI,1.0,1,1,0,0
1510,JANIS IAN,1.0,1,1,0,0
1511,JEFF BUCKLEY,1.0,1,1,0,0
1512,JENNIFER HUDSON,1.0,2,0,0,0
1513,JERMAINE DUPRI,1.0,1,1,0,0
1514,JERMAINE JACKSON,1.0,2,0,0,0
1515,JERRY SEINFELD,1.0,1,1,0,0
1516,JESSE MC CARTNEY,1.0,1,1,0,0
1517,JESSIE J,1.0,1,1,0,0
1518,JESUS JONES,1.0,1,1,0,0
1519,JET,1.0,1,1,0,0
1520,JOE JACKSON,1.0,2,0,0,0
1521,JOHN DENVER & THE MUPPETS,1.0,1,1,0,0
1522,JOHN TESH,1.0,2,0,0,0
1523,JOHNNIE TAYLOR,1.0,1,1,0,0
1524,JOHNNY 'GUITAR' WATSON,1.0,2,0,0,0
1525,JOHNNY HORTON,1.0,1,1,0,0
1526,JOJI,1.0,2,0,0,0
1527,JON PARDI,1.0,1,1,0,0
1528,JORDIN SPARKS,1.0,1,1,0,0
1529,JOSHUA KADISON,1.0,1,1,0,0
1530,JUANITA BYNUM,1.0,1,1,0,0
1531,KEHLANI,1.0,2,0,0,0
1532,KENNY ROGERS & THE FIRST EDITION,1.0,1,1,0,0
1533,KID 'N PLAY,1.0,2,0,0,0
1534,KILLSWITCH ENGAGE,1.0,2,0,0,0
1535,KIM CARNES,1.0,1,1,0,0
1536,KIP MOORE,1.0,1,1,0,0
1537,KIX,1.0,1,1,0,0
1538,KRAYZIE BONE,1.0,1,1,0,0
1539,KROKUS,1.0,2,0,0,0
1540,KT TUNSTALL,1.0,1,1,0,0
1541,KYLE,1.0,1,1,0,0
1542,L. ELGART / MANHATTAN SWING ORC,1.0,1,1,0,0
1543,L.A. GUNS,1.0,2,0,0,0
1544,LA BOUCHE,1.0,1,1,0,0
1545,LAMB OF GOD,1.0,2,0,0,0
1546,LAWRENCE WELK,1.0,2,0,0,0
1547,LEIF GARRETT,1.0,2,0,0,0
1548,LEO SAYER,1.0,1,1,0,0
1549,LEONA LEWIS,1.0,1,1,0,0
1550,LETOYA,1.0,1,1,0,0
1551,LFO,1.0,1,1,0,0
1552,LIL BABY & GUNNA,1.0,1,1,0,0
1553,LIL NAS X,1.0,1,1,0,0
1554,LIL PEEP,1.0,2,0,0,0
1555,LIL PUMP,1.0,2,0,0,0
1556,LIL TECCA,1.0,1,1,0,0
1557,LIL' TROY,1.0,1,1,0,0
1558,LINDSEY STIRLING,1.0,2,0,0,0
1559,LISA LISA & CULT JAM,1.0,1,1,0,0
1560,LISA LISA & CULT JAM WITH FULL FORCE,1.0,1,1,0,0
1561,LISA LOEB,1.0,2,0,0,0
1562,LIT,1.0,1,1,0,0
1563,LITA FORD,1.0,1,1,0,0
1564,LIZA MINNELLI,1.0,2,0,0,0
1565,LIZZO,1.0,1,1,0,0
1566,LLOYD BANKS,1.0,1,1,0,0
1567,LOST BOYZ,1.0,2,0,0,0
1568,LOU REED,1.0,2,0,0,0
1569,LUKAS GRAHAM,1.0,1,1,0,0
1570,LUNIZ,1.0,1,1,0,0
1571,LUPE FIASCO,1.0,2,0,0,0
1572,LYFE,1.0,1,1,0,0
1573,MACKLEMORE & RYAN LEWIS,1.0,1,1,0,0
1574,MAHAVISHNU ORCHESTRA,1.0,2,0,0,0
1575,MARC COHN,1.0,1,1,0,0
1576,MARCY PLAYGROUND,1.0,1,1,0,0
1577,MARK RONSON,1.0,1,1,0,0
1578,MARKY MARK & THE FUNKY BUNCH,1.0,1,1,0,0
1579,MATISYAHU,1.0,2,0,0,0
1580,MATTHEW SWEET,1.0,2,0,0,0
1581,MAZZY STAR,1.0,1,1,0,0
1582,MECO,1.0,1,1,0,0
1583,MELANIE,1.0,2,0,0,0
1584,MELISSA MANCHESTER,1.0,2,0,0,0
1585,MEMPHIS BLEEK,1.0,2,0,0,0
1586,MEREDITH BROOKS,1.0,1,1,0,0
1587,MERLE HAGGARD & WILLIE NELSON,1.0,1,1,0,0
1588,METHOD MAN AND REDMAN,1.0,1,1,0,0
1589,METRO BOOMIN,1.0,1,1,0,0
1590,MICHAEL FRANKS,1.0,2,0,0,0
1591,MICHAEL MARTIN MURPHEY,1.0,2,0,0,0
1592,MICKEY GILLEY,1.0,2,0,0,0
1593,MIGHTY MIGHTY BOSSTONES,1.0,1,1,0,0
1594,MIKE + THE MECHANICS,1.0,2,0,0,0
1595,MIKE JONES,1.0,1,1,0,0
1596,MONEYBAGG YO,1.0,2,0,0,0
1597,MONTROSE,1.0,1,1,0,0
1598,MORRISSEY,1.0,2,0,0,0
1599,MOS DEF,1.0,2,0,0,0
1600,MR. BIG,1.0,1,1,0,0
1601,MR. MISTER,1.0,1,1,0,0
1602,MUSTARD,1.0,1,1,0,0
1603,N.E.R.D.,1.0,2,0,0,0
1604,NAJEE,1.0,2,0,0,0
1605,NAPPY ROOTS,1.0,1,1,0,0
1606,NATASHA BEDINGFIELD,1.0,2,0,0,0
1607,NAZARETH,1.0,1,1,0,0
1608,NEIL SEDAKA,1.0,2,0,0,0
1609,NEVILLE MARINER,1.0,1,1,0,0
1610,NEW RADICALS,1.0,1,1,0,0
1611,NIALL HORAN,1.0,1,1,0,0
1612,NILSSON,1.0,2,0,0,0
1613,NINO ROTA,1.0,1,1,0,0
1614,NIPSEY HUSSLE,1.0,1,1,0,0
1615,NLE CHOPPA,1.0,2,0,0,0
1616,NOREAGA,1.0,2,0,0,0
1617,O-TOWN,1.0,1,1,0,0
1618,OF MONSTERS & MEN,1.0,1,1,0,0
1619,OLIVIA NEWTON-JOHN & JOHN TRAVOLTA,1.0,1,1,0,0
1620,OLIVIA RODRIGO,1.0,1,1,0,0
1621,ONYX,1.0,1,1,0,0
1622,ORIGINAL LONDON CAST,1.0,1,1,0,0
1623,OWL CITY,1.0,1,1,0,0
1624,P. DIDDY,1.0,1,1,0,0
1625,P.M. DAWN,1.0,2,0,0,0
1626,PARTYNEXTDOOR,1.0,2,0,0,0
1627,PASSENGER,1.0,1,1,0,0
1628,PASSION PIT,1.0,2,0,0,0
1629,PAUL & LINDA MC CARTNEY,1.0,1,1,0,0
1630,PAUL ANKA,1.0,2,0,0,0
1631,PAUL STANLEY,1.0,1,1,0,0
1632,PAUL WALL,1.0,1,1,0,0
1633,PAULINA RUBIO,1.0,2,0,0,0
1634,PETER CETERA,1.0,1,1,0,0
1635,PETER CRISS,1.0,1,1,0,0
1636,PETEY PABLO,1.0,2,0,0,0
1637,PETRA,1.0,2,0,0,0
1638,PHILLIP PHILLIPS,1.0,1,1,0,0
1639,PHOEBE SNOW,1.0,2,0,0,0
1640,PITCH PERFECT,1.0,1,1,0,0
1641,PLACIDO DOMINGO,1.0,1,1,0,0
1642,PLAIN WHITE T'S,1.0,2,0,0,0
1643,PLAYER,1.0,2,0,0,0
1644,POCO,1.0,2,0,0,0
1645,POSTAL SERVICE,1.0,1,1,0,0
1646,POWERMAN 5000,1.0,1,1,0,0
1647,PRETTY RICKY,1.0,2,0,0,0
1648,PSYCHEDELIC FURS,1.0,2,0,0,0
1649,QUAD CITY DJ'S,1.0,1,1,0,0
1650,QUARTERFLASH,1.0,1,1,0,0
1651,QUEEN LATIFAH,1.0,2,0,0,0
1652,R. KELLY & PUBLIC ANNOUNCEMENT,1.0,1,1,0,0
1653,RAKIM,1.0,2,0,0,0
1654,RALPH TRESVANT,1.0,1,1,0,0
1655,RAMMSTEIN,1.0,1,1,0,0
1656,RAMONES,1.0,2,0,0,0
1657,RAY BOLTZ,1.0,2,0,0,0
1658,RAY LYNCH,1.0,1,1,0,0
1659,"RAY PARKER, JR.",1.0,2,0,0,0
1660,"RAY PARKER, JR. & RAYDIO",1.0,2,0,0,0
1661,RAYDIO,1.0,2,0,0,0
1662,REBECCA ST. JAMES,1.0,2,0,0,0
1663,REGINA BELLE,1.0,2,0,0,0
1664,RICH THE KID,1.0,1,1,0,0
1665,RICHARD SIMMONS,1.0,1,1,0,0
1666,RICK WAKEMAN,1.0,2,0,0,0
1667,ROB BASE & DJ E-Z ROCK,1.0,1,1,0,0
1668,ROBERT JOHNSON,1.0,1,1,0,0
1669,ROBERT PLANT & ALLISON KRAUSS,1.0,1,1,0,0
1670,ROBERTA FLACK & DONNY HATHAWAY,1.0,2,0,0,0
1671,ROBIN THICKE,1.0,1,1,0,0
1672,ROBYN,1.0,1,1,0,0
1673,ROGER,1.0,2,0,0,0
1674,ROGER WHITTAKER,1.0,2,0,0,0
1675,ROME,1.0,1,1,0,0
1676,ROXY MUSIC,1.0,1,1,0,0
1677,RUFF RYDERS,1.0,1,1,0,0
1678,RUSS,1.0,1,1,0,0
1679,RYAN CABRERA,1.0,1,1,0,0
1680,SCANDAL,1.0,1,1,0,0
1681,SCOTT STAPP,1.0,1,1,0,0
1682,SELENA GOMEZ,1.0,1,1,0,0
1683,SEMISONIC,1.0,1,1,0,0
1684,SEPULTURA,1.0,2,0,0,0
1685,SEVEN MARY THREE,1.0,1,1,0,0
1686,SEX PISTOLS,1.0,1,1,0,0
1687,SHABBA RANKS,1.0,2,0,0,0
1688,SHAWN COLVIN,1.0,1,1,0,0
1689,SHAWN MULLINS,1.0,1,1,0,0
